Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH+CPI,5,0.6733333333333333,2.01980198019802,0.1,0.2,0.7
SPH+CPI,6,0.7,2.171428571428572,0.1,0.2,0.7
SPH+CPI,7,0.7266666666666667,2.3486238532110093,0.1,0.2,0.7
SPH+CPI,8,0.75,2.5244444444444443,0.1,0.2,0.7
SPH+CPI,9,0.7633333333333333,2.6375545851528384,0.1,0.2,0.7
SPH+CPI,10,0.7733333333333333,2.7327586206896552,0.1,0.2,0.7
SPH+CPI,1,0.3166666666666666,1.0,0.1,0.2,0.75
SPH+CPI,2,0.4866666666666667,1.3493150684931507,0.1,0.2,0.75
SPH+CPI,3,0.5533333333333333,1.5481927710843373,0.1,0.2,0.75
SPH+CPI,4,0.62,1.811827956989248,0.1,0.2,0.75
SPH+CPI,5,0.6766666666666666,2.078817733990148,0.1,0.2,0.75
SPH+CPI,6,0.69,2.154589371980676,0.1,0.2,0.75
SPH+CPI,7,0.7133333333333334,2.3130841121495327,0.1,0.2,0.75
SPH+CPI,8,0.7366666666666667,2.493212669683258,0.1,0.2,0.75
SPH+CPI,9,0.75,2.608888888888889,0.1,0.2,0.75
SPH+CPI,10,0.77,2.8008658008658007,0.1,0.2,0.75
SPH+CPI,1,0.34,1.0,0.1,0.2,0.8
SPH+CPI,2,0.4733333333333333,1.2816901408450705,0.1,0.2,0.8
SPH+CPI,3,0.5633333333333334,1.5562130177514792,0.1,0.2,0.8
SPH+CPI,4,0.6066666666666667,1.7307692307692308,0.1,0.2,0.8
SPH+CPI,5,0.6533333333333333,1.9642857142857144,0.1,0.2,0.8
SPH+CPI,6,0.6866666666666666,2.1601941747572817,0.1,0.2,0.8
SPH+CPI,7,0.7166666666666667,2.362790697674418,0.1,0.2,0.8
SPH+CPI,8,0.73,2.4657534246575343,0.1,0.2,0.8
SPH+CPI,9,0.7533333333333333,2.668141592920354,0.1,0.2,0.8
SPH+CPI,10,0.7766666666666666,2.888412017167382,0.1,0.2,0.8
SPH+CPI,1,0.3166666666666666,1.0,0.1,0.2,0.85
SPH+CPI,2,0.4433333333333333,1.2857142857142858,0.1,0.2,0.85
SPH+CPI,3,0.5233333333333333,1.5477707006369428,0.1,0.2,0.85
SPH+CPI,4,0.5966666666666667,1.8491620111731844,0.1,0.2,0.85
