Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH+CPI,3,0.6033333333333334,1.5193370165745856,0.1,0.2,0.7
SPH+CPI,4,0.6633333333333333,1.7437185929648238,0.1,0.2,0.7
SPH+CPI,5,0.6933333333333334,1.8846153846153848,0.1,0.2,0.7
SPH+CPI,6,0.7133333333333334,2.0,0.1,0.2,0.7
SPH+CPI,7,0.7333333333333333,2.136363636363636,0.1,0.2,0.7
SPH+CPI,8,0.76,2.3421052631578947,0.1,0.2,0.7
SPH+CPI,9,0.77,2.4285714285714284,0.1,0.2,0.7
SPH+CPI,10,0.79,2.6202531645569622,0.1,0.2,0.7
SPH+CPI,1,0.3466666666666667,1.0,0.1,0.2,0.75
SPH+CPI,2,0.51,1.3202614379084967,0.1,0.2,0.75
SPH+CPI,3,0.5966666666666667,1.5642458100558658,0.1,0.2,0.75
SPH+CPI,4,0.6566666666666666,1.7868020304568528,0.1,0.2,0.75
SPH+CPI,5,0.6666666666666666,1.835,0.1,0.2,0.75
SPH+CPI,6,0.6933333333333334,1.995192307692308,0.1,0.2,0.75
SPH+CPI,7,0.7366666666666667,2.289592760180996,0.1,0.2,0.75
SPH+CPI,8,0.7566666666666667,2.4405286343612334,0.1,0.2,0.75
SPH+CPI,9,0.7666666666666667,2.5260869565217394,0.1,0.2,0.75
SPH+CPI,10,0.7866666666666666,2.7161016949152543,0.1,0.2,0.75
SPH+CPI,1,0.3666666666666665,1.0,0.1,0.2,0.8
SPH+CPI,2,0.51,1.2810457516339868,0.1,0.2,0.8
SPH+CPI,3,0.5733333333333334,1.4709302325581397,0.1,0.2,0.8
SPH+CPI,4,0.6233333333333333,1.6737967914438503,0.1,0.2,0.8
SPH+CPI,5,0.6733333333333333,1.9207920792079207,0.1,0.2,0.8
SPH+CPI,6,0.7033333333333334,2.09478672985782,0.1,0.2,0.8
SPH+CPI,7,0.7266666666666667,2.252293577981652,0.1,0.2,0.8
SPH+CPI,8,0.75,2.4311111111111106,0.1,0.2,0.8
SPH+CPI,9,0.7733333333333333,2.6293103448275863,0.1,0.2,0.8
SPH+CPI,1,0.3333333333333333,1.0,0.1,0.2,0.85
SPH+CPI,2,0.4833333333333333,1.3103448275862069,0.1,0.2,0.85
SPH+CPI,3,0.5533333333333333,1.5240963855421688,0.1,0.2,0.85
SPH+CPI,4,0.6166666666666667,1.7783783783783784,0.1,0.2,0.85
SPH+CPI,5,0.6633333333333333,2.0050251256281406,0.1,0.2,0.85
SPH+CPI,6,0.7,2.2142857142857144,0.1,0.2,0.85
SPH+CPI,7,0.72,2.3472222222222223,0.1,0.2,0.85
SPH+CPI,8,0.7333333333333333,2.45,0.1,0.2,0.85
SPH+CPI,9,0.7533333333333333,2.6238938053097347,0.1,0.2,0.85
SPH+CPI,1,0.2733333333333333,1.0,0.1,0.2,0.9
SPH+CPI,2,0.42,1.3492063492063493,0.1,0.2,0.9
SPH+CPI,3,0.5166666666666667,1.6580645161290322,0.1,0.2,0.9
SPH+CPI,4,0.5966666666666667,1.9720670391061448,0.1,0.2,0.9
SPH+CPI,5,0.6366666666666667,2.162303664921466,0.1,0.2,0.9
SPH+CPI,6,0.6933333333333334,2.4759615384615383,0.1,0.2,0.9
SPH+CPI,7,0.7233333333333334,2.6635944700460827,0.1,0.2,0.9
SPH+CPI,8,0.7366666666666667,2.760180995475113,0.1,0.2,0.9
SPH+CPI,9,0.7566666666666667,2.9251101321585904,0.1,0.2,0.9
SPH+CPI,10,0.77,3.0476190476190474,0.1,0.2,0.9
SPH+CPI,1,0.37,1.0,0.1,0.25,0.7
SPH+CPI,2,0.5233333333333333,1.2929936305732483,0.1,0.25,0.7
SPH+CPI,3,0.6033333333333334,1.5193370165745856,0.1,0.25,0.7
SPH+CPI,4,0.6633333333333333,1.7437185929648238,0.1,0.25,0.7
SPH+CPI,5,0.6933333333333334,1.8846153846153848,0.1,0.25,0.7
SPH+CPI,6,0.7133333333333334,2.0,0.1,0.25,0.7
SPH+CPI,7,0.7333333333333333,2.136363636363636,0.1,0.25,0.7
SPH+CPI,8,0.76,2.3421052631578947,0.1,0.25,0.7
SPH+CPI,9,0.77,2.4285714285714284,0.1,0.25,0.7
SPH+CPI,10,0.79,2.6202531645569622,0.1,0.25,0.7
SPH+CPI,1,0.3466666666666667,1.0,0.1,0.25,0.75
SPH+CPI,2,0.51,1.3202614379084967,0.1,0.25,0.75
SPH+CPI,3,0.5966666666666667,1.5642458100558658,0.1,0.25,0.75
SPH+CPI,4,0.6566666666666666,1.7868020304568528,0.1,0.25,0.75
SPH+CPI,5,0.6666666666666666,1.835,0.1,0.25,0.75
SPH+CPI,6,0.6933333333333334,1.995192307692308,0.1,0.25,0.75
SPH+CPI,7,0.7366666666666667,2.289592760180996,0.1,0.25,0.75
SPH+CPI,8,0.7566666666666667,2.4405286343612334,0.1,0.25,0.75
SPH+CPI,9,0.7666666666666667,2.5260869565217394,0.1,0.25,0.75
SPH+CPI,10,0.7866666666666666,2.7161016949152543,0.1,0.25,0.75
SPH+CPI,1,0.3666666666666665,1.0,0.1,0.25,0.8
SPH+CPI,2,0.51,1.2810457516339868,0.1,0.25,0.8
SPH+CPI,3,0.5733333333333334,1.4709302325581397,0.1,0.25,0.8
SPH+CPI,4,0.6233333333333333,1.6737967914438503,0.1,0.25,0.8
SPH+CPI,5,0.6733333333333333,1.9207920792079207,0.1,0.25,0.8
SPH+CPI,6,0.7033333333333334,2.09478672985782,0.1,0.25,0.8
SPH+CPI,7,0.7266666666666667,2.252293577981652,0.1,0.25,0.8
SPH+CPI,8,0.75,2.4311111111111106,0.1,0.25,0.8
SPH+CPI,9,0.7733333333333333,2.6293103448275863,0.1,0.25,0.8
SPH+CPI,1,0.3333333333333333,1.0,0.1,0.25,0.85
SPH+CPI,2,0.4833333333333333,1.3103448275862069,0.1,0.25,0.85
SPH+CPI,3,0.5533333333333333,1.5240963855421688,0.1,0.25,0.85
SPH+CPI,4,0.6166666666666667,1.7783783783783784,0.1,0.25,0.85
SPH+CPI,5,0.6633333333333333,2.0050251256281406,0.1,0.25,0.85
SPH+CPI,6,0.7,2.2142857142857144,0.1,0.25,0.85
SPH+CPI,7,0.72,2.3472222222222223,0.1,0.25,0.85
SPH+CPI,8,0.7333333333333333,2.45,0.1,0.25,0.85
SPH+CPI,9,0.7533333333333333,2.6238938053097347,0.1,0.25,0.85
SPH+CPI,1,0.2733333333333333,1.0,0.1,0.25,0.9
