Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH,10,0.5433333333333333,4.11840490797546,0.4,,
RF+B,1,0.0533333333333333,1.0,,,
RF+B,2,0.1,1.4074074074074074,,,
RF+B,3,0.1533333333333333,2.065217391304348,,,
RF+B,4,0.2033333333333333,2.540983606557377,,,
RF+B,5,0.2533333333333333,2.857142857142857,,,
RF+B,6,0.2766666666666666,3.25,,,
RF+B,7,0.3466666666666666,3.938775510204082,,,
RF+B,8,0.3666666666666667,4.173076923076923,,,
RF+B,9,0.4066666666666666,4.836363636363637,,,
RF+B,10,0.4733333333333333,5.352148760330579,,,
SPH+CPI,1,0.1,1.0,0.1,0.2,0.7
SPH+CPI,2,0.2,1.5,0.1,0.2,0.7
SPH+CPI,3,0.24,1.75,0.1,0.2,0.7
SPH+CPI,4,0.29,2.1379310344827585,0.1,0.2,0.7
SPH+CPI,5,0.35,2.628571428571429,0.1,0.2,0.7
SPH+CPI,6,0.41,3.1219512195121952,0.1,0.2,0.7
SPH+CPI,7,0.4533333333333333,3.492647058823529,0.1,0.2,0.7
SPH+CPI,8,0.4833333333333333,3.772413793103449,0.1,0.2,0.7
SPH+CPI,9,0.51,4.045751633986928,0.1,0.2,0.7
SPH+CPI,10,0.5366666666666666,4.341614906832298,0.1,0.2,0.7
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.2,0.75
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.2,0.75
SPH+CPI,3,0.2333333333333333,1.8142857142857145,0.1,0.2,0.75
SPH+CPI,4,0.2733333333333333,2.1341463414634148,0.1,0.2,0.75
SPH+CPI,5,0.3333333333333333,2.65,0.1,0.2,0.75
SPH+CPI,6,0.4,3.208333333333333,0.1,0.2,0.75
SPH+CPI,7,0.4533333333333333,3.654411764705882,0.1,0.2,0.75
SPH+CPI,8,0.4866666666666667,3.952054794520548,0.1,0.2,0.75
SPH+CPI,9,0.51,4.183006535947713,0.1,0.2,0.75
SPH+CPI,10,0.5366666666666666,4.472049689440993,0.1,0.2,0.75
SPH+CPI,1,0.09,1.0,0.1,0.2,0.8
SPH+CPI,2,0.1833333333333333,1.509090909090909,0.1,0.2,0.8
SPH+CPI,3,0.2333333333333333,1.8285714285714283,0.1,0.2,0.8
SPH+CPI,4,0.2733333333333333,2.1463414634146343,0.1,0.2,0.8
SPH+CPI,5,0.3333333333333333,2.66,0.1,0.2,0.8
SPH+CPI,6,0.4,3.216666666666667,0.1,0.2,0.8
SPH+CPI,7,0.45,3.637037037037037,0.1,0.2,0.8
SPH+CPI,8,0.4833333333333333,3.937931034482759,0.1,0.2,0.8
SPH+CPI,9,0.51,4.202614379084968,0.1,0.2,0.8
SPH+CPI,10,0.5366666666666666,4.490683229813665,0.1,0.2,0.8
SPH+CPI,1,0.09,1.0,0.1,0.2,0.85
SPH+CPI,2,0.1833333333333333,1.509090909090909,0.1,0.2,0.85
SPH+CPI,3,0.2333333333333333,1.8285714285714283,0.1,0.2,0.85
SPH+CPI,4,0.2733333333333333,2.1463414634146343,0.1,0.2,0.85
SPH+CPI,5,0.3333333333333333,2.66,0.1,0.2,0.85
SPH+CPI,6,0.4,3.216666666666667,0.1,0.2,0.85
SPH+CPI,7,0.45,3.637037037037037,0.1,0.2,0.85
SPH+CPI,8,0.4833333333333333,3.937931034482759,0.1,0.2,0.85
SPH+CPI,9,0.51,4.202614379084968,0.1,0.2,0.85
SPH+CPI,10,0.5366666666666666,4.490683229813665,0.1,0.2,0.85
SPH+CPI,1,0.09,1.0,0.1,0.2,0.9
SPH+CPI,2,0.1733333333333333,1.4807692307692308,0.1,0.2,0.9
SPH+CPI,3,0.2266666666666666,1.838235294117647,0.1,0.2,0.9
SPH+CPI,4,0.27,2.185185185185185,0.1,0.2,0.9
SPH+CPI,5,0.3366666666666666,2.742574257425743,0.1,0.2,0.9
SPH+CPI,6,0.4033333333333333,3.28099173553719,0.1,0.2,0.9
SPH+CPI,7,0.46,3.739130434782609,0.1,0.2,0.9
SPH+CPI,8,0.4933333333333333,4.027027027027027,0.1,0.2,0.9
SPH+CPI,9,0.52,4.282051282051282,0.1,0.2,0.9
SPH+CPI,10,0.5433333333333333,4.52760736196319,0.1,0.2,0.9
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.25,0.7
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.25,0.7
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.25,0.7
SPH+CPI,4,0.29,2.218390804597701,0.1,0.25,0.7
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.25,0.7
SPH+CPI,6,0.42,3.246031746031746,0.1,0.25,0.7
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.25,0.7
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.25,0.7
SPH+CPI,9,0.51,4.065359477124183,0.1,0.25,0.7
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.25,0.7
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.25,0.75
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.25,0.75
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.25,0.75
SPH+CPI,4,0.29,2.218390804597701,0.1,0.25,0.75
