Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH,6,0.6066666666666667,2.5846153846153848,0.4,,
SPH,7,0.6266666666666667,2.731914893617021,0.4,,
SPH,8,0.65,2.9282051282051285,0.4,,
SPH,9,0.66,3.023232323232324,0.4,,
SPH,10,0.68,3.234313725490196,0.4,,
RF+B,1,0.1866666666666666,1.0,,,
RF+B,2,0.2733333333333333,1.3902439024390243,,,
RF+B,3,0.3466666666666667,1.766355140186916,,,
RF+B,4,0.41,2.056910569105692,,,
RF+B,5,0.4466666666666666,2.236641221374046,,,
RF+B,6,0.4866666666666667,2.5524475524475525,,,
RF+B,7,0.5133333333333333,2.949044585987261,,,
RF+B,8,0.5466666666666666,3.164634146341464,,,
RF+B,9,0.5733333333333334,3.436046511627907,,,
RF+B,10,0.5813333333333333,3.504130434782609,,,
SPH+CPI,1,0.2366666666666666,1.0,0.1,0.2,0.7
SPH+CPI,2,0.34,1.403921568627451,0.1,0.2,0.7
SPH+CPI,3,0.4366666666666666,1.7793893129770992,0.1,0.2,0.7
SPH+CPI,4,0.47,1.9439716312056736,0.1,0.2,0.7
SPH+CPI,5,0.5133333333333333,2.2103896103896106,0.1,0.2,0.7
SPH+CPI,6,0.5566666666666666,2.513173652694611,0.1,0.2,0.7
SPH+CPI,7,0.57,2.62046783625731,0.1,0.2,0.7
SPH+CPI,8,0.6,2.8944444444444444,0.1,0.2,0.7
SPH+CPI,9,0.6233333333333333,3.1267379679144387,0.1,0.2,0.7
SPH+CPI,10,0.6366666666666667,3.272774869109948,0.1,0.2,0.7
SPH+CPI,1,0.2366666666666666,1.0,0.1,0.2,0.75
SPH+CPI,2,0.34,1.403921568627451,0.1,0.2,0.75
SPH+CPI,3,0.4333333333333333,1.7692307692307694,0.1,0.2,0.75
SPH+CPI,4,0.47,1.951063829787234,0.1,0.2,0.75
SPH+CPI,5,0.5133333333333333,2.216883116883117,0.1,0.2,0.75
SPH+CPI,6,0.5533333333333333,2.497590361445784,0.1,0.2,0.75
SPH+CPI,7,0.57,2.6321637426900586,0.1,0.2,0.75
SPH+CPI,8,0.6,2.905555555555556,0.1,0.2,0.75
SPH+CPI,9,0.6233333333333333,3.137433155080214,0.1,0.2,0.75
SPH+CPI,10,0.6366666666666667,3.283246073298429,0.1,0.2,0.75
SPH+CPI,1,0.2466666666666666,1.0,0.1,0.2,0.8
SPH+CPI,2,0.34,1.3745098039215684,0.1,0.2,0.8
SPH+CPI,3,0.4266666666666667,1.725,0.1,0.2,0.8
SPH+CPI,4,0.4666666666666667,1.9285714285714284,0.1,0.2,0.8
SPH+CPI,5,0.51,2.1980392156862747,0.1,0.2,0.8
SPH+CPI,6,0.5533333333333333,2.503614457831325,0.1,0.2,0.8
SPH+CPI,7,0.57,2.638011695906433,0.1,0.2,0.8
SPH+CPI,8,0.5966666666666667,2.882122905027933,0.1,0.2,0.8
SPH+CPI,9,0.6166666666666667,3.083783783783784,0.1,0.2,0.8
SPH+CPI,10,0.63,3.232275132275132,0.1,0.2,0.8
SPH+CPI,1,0.24,1.0,0.1,0.2,0.85
SPH+CPI,2,0.3433333333333333,1.5009708737864085,0.1,0.2,0.85
SPH+CPI,3,0.42,1.811111111111112,0.1,0.2,0.85
SPH+CPI,4,0.4566666666666666,2.002919708029197,0.1,0.2,0.85
SPH+CPI,5,0.4966666666666666,2.2604026845637586,0.1,0.2,0.85
SPH+CPI,6,0.5233333333333333,2.461146496815287,0.1,0.2,0.85
SPH+CPI,7,0.5433333333333333,2.63558282208589,0.1,0.2,0.85
SPH+CPI,8,0.57,2.895906432748538,0.1,0.2,0.85
SPH+CPI,9,0.5866666666666667,3.075,0.1,0.2,0.85
SPH+CPI,10,0.6,3.2333333333333334,0.1,0.2,0.85
SPH+CPI,1,0.2266666666666666,1.0,0.1,0.2,0.9
SPH+CPI,2,0.3,1.2444444444444445,0.1,0.2,0.9
SPH+CPI,3,0.4,1.6833333333333331,0.1,0.2,0.9
SPH+CPI,4,0.4533333333333333,1.9558823529411764,0.1,0.2,0.9
SPH+CPI,5,0.5033333333333333,2.2582781456953644,0.1,0.2,0.9
SPH+CPI,6,0.54,2.5123456790123457,0.1,0.2,0.9
SPH+CPI,7,0.56,2.6726190476190474,0.1,0.2,0.9
SPH+CPI,8,0.5866666666666667,2.914772727272727,0.1,0.2,0.9
SPH+CPI,9,0.6066666666666667,3.1153846153846154,0.1,0.2,0.9
SPH+CPI,10,0.6233333333333333,3.299465240641711,0.1,0.2,0.9
SPH+CPI,1,0.24,1.0,0.1,0.25,0.7
SPH+CPI,2,0.3533333333333333,1.420754716981132,0.1,0.25,0.7
SPH+CPI,3,0.4366666666666666,1.7412213740458018,0.1,0.25,0.7
SPH+CPI,4,0.4866666666666667,1.9835616438356165,0.1,0.25,0.7
SPH+CPI,5,0.5233333333333333,2.2019108280254778,0.1,0.25,0.7
SPH+CPI,6,0.5633333333333334,2.478698224852072,0.1,0.25,0.7
SPH+CPI,7,0.5866666666666667,2.6625,0.1,0.25,0.7
SPH+CPI,8,0.6033333333333334,2.812707182320442,0.1,0.25,0.7
SPH+CPI,9,0.63,3.0788359788359787,0.1,0.25,0.7
SPH+CPI,10,0.65,3.294871794871795,0.1,0.25,0.7
SPH+CPI,1,0.24,1.0,0.1,0.25,0.75
SPH+CPI,2,0.3533333333333333,1.420754716981132,0.1,0.25,0.75
SPH+CPI,3,0.4333333333333333,1.7307692307692308,0.1,0.25,0.75
SPH+CPI,4,0.4866666666666667,1.9904109589041097,0.1,0.25,0.75
SPH+CPI,5,0.5233333333333333,2.2082802547770704,0.1,0.25,0.75
SPH+CPI,6,0.56,2.4630952380952382,0.1,0.25,0.75
SPH+CPI,7,0.5866666666666667,2.673863636363636,0.1,0.25,0.75
SPH+CPI,8,0.6033333333333334,2.823756906077348,0.1,0.25,0.75
SPH+CPI,9,0.63,3.0894179894179894,0.1,0.25,0.75
SPH+CPI,10,0.65,3.3051282051282054,0.1,0.25,0.75
SPH+CPI,1,0.24,1.0,0.1,0.25,0.8
SPH+CPI,2,0.3533333333333333,1.420754716981132,0.1,0.25,0.8
SPH+CPI,3,0.4333333333333333,1.7307692307692308,0.1,0.25,0.8
SPH+CPI,4,0.4866666666666667,1.9904109589041097,0.1,0.25,0.8
SPH+CPI,5,0.5233333333333333,2.2082802547770704,0.1,0.25,0.8
SPH+CPI,6,0.56,2.4630952380952382,0.1,0.25,0.8
SPH+CPI,7,0.5866666666666667,2.673863636363636,0.1,0.25,0.8
SPH+CPI,8,0.6033333333333334,2.823756906077348,0.1,0.25,0.8
SPH+CPI,9,0.63,3.0894179894179894,0.1,0.25,0.8
SPH+CPI,10,0.65,3.3051282051282054,0.1,0.25,0.8
SPH+CPI,1,0.2266666666666666,1.0,0.1,0.25,0.85
SPH+CPI,2,0.3533333333333333,1.458490566037736,0.1,0.25,0.85
SPH+CPI,3,0.4333333333333333,1.7615384615384615,0.1,0.25,0.85
SPH+CPI,4,0.4866666666666667,2.017808219178082,0.1,0.25,0.85
SPH+CPI,5,0.5233333333333333,2.23375796178344,0.1,0.25,0.85
SPH+CPI,6,0.5566666666666666,2.4652694610778445,0.1,0.25,0.85
SPH+CPI,7,0.58,2.651724137931035,0.1,0.25,0.85
SPH+CPI,8,0.5933333333333334,2.7741573033707865,0.1,0.25,0.85
SPH+CPI,9,0.6133333333333333,2.980434782608696,0.1,0.25,0.85
SPH+CPI,10,0.6366666666666667,3.241361256544503,0.1,0.25,0.85
SPH+CPI,1,0.23,1.0,0.1,0.25,0.9
SPH+CPI,2,0.3333333333333333,1.41,0.1,0.25,0.9
SPH+CPI,3,0.4266666666666667,1.7796875,0.1,0.25,0.9
SPH+CPI,4,0.49,2.0795918367346937,0.1,0.25,0.9
SPH+CPI,5,0.5333333333333333,2.325,0.1,0.25,0.9
SPH+CPI,6,0.57,2.567836257309941,0.1,0.25,0.9
SPH+CPI,7,0.59,2.721468926553672,0.1,0.25,0.9
SPH+CPI,8,0.6066666666666667,2.8692307692307693,0.1,0.25,0.9
SPH+CPI,9,0.6233333333333333,3.035828877005348,0.1,0.25,0.9
SPH+CPI,10,0.6466666666666666,3.2907216494845364,0.1,0.25,0.9
SPH+CPI,1,0.24,1.0,0.1,0.3,0.7
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.3,0.7
SPH+CPI,3,0.4366666666666666,1.7488549618320612,0.1,0.3,0.7
SPH+CPI,4,0.49,2.0047619047619047,0.1,0.3,0.7
SPH+CPI,5,0.52,2.183333333333333,0.1,0.3,0.7
SPH+CPI,6,0.5633333333333334,2.4846153846153847,0.1,0.3,0.7
SPH+CPI,7,0.5866666666666667,2.6681818181818184,0.1,0.3,0.7
SPH+CPI,8,0.6033333333333334,2.818232044198896,0.1,0.3,0.7
SPH+CPI,9,0.63,3.0841269841269843,0.1,0.3,0.7
SPH+CPI,10,0.65,3.3000000000000003,0.1,0.3,0.7
SPH+CPI,1,0.24,1.0,0.1,0.3,0.75
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.3,0.75
SPH+CPI,3,0.4333333333333333,1.7384615384615385,0.1,0.3,0.75
SPH+CPI,4,0.49,2.01156462585034,0.1,0.3,0.75
SPH+CPI,5,0.52,2.18974358974359,0.1,0.3,0.75
SPH+CPI,6,0.56,2.469047619047619,0.1,0.3,0.75
SPH+CPI,7,0.5866666666666667,2.6795454545454547,0.1,0.3,0.75
SPH+CPI,8,0.6033333333333334,2.829281767955801,0.1,0.3,0.75
SPH+CPI,9,0.63,3.094708994708995,0.1,0.3,0.75
SPH+CPI,10,0.65,3.3102564102564105,0.1,0.3,0.75
SPH+CPI,1,0.24,1.0,0.1,0.3,0.8
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.3,0.8
SPH+CPI,3,0.4333333333333333,1.7384615384615385,0.1,0.3,0.8
SPH+CPI,4,0.49,2.01156462585034,0.1,0.3,0.8
SPH+CPI,5,0.52,2.18974358974359,0.1,0.3,0.8
SPH+CPI,6,0.56,2.469047619047619,0.1,0.3,0.8
SPH+CPI,7,0.5866666666666667,2.6795454545454547,0.1,0.3,0.8
SPH+CPI,8,0.6033333333333334,2.829281767955801,0.1,0.3,0.8
SPH+CPI,9,0.63,3.094708994708995,0.1,0.3,0.8
SPH+CPI,10,0.65,3.3102564102564105,0.1,0.3,0.8
SPH+CPI,1,0.2266666666666666,1.0,0.1,0.3,0.85
SPH+CPI,2,0.35,1.4523809523809526,0.1,0.3,0.85
SPH+CPI,3,0.4333333333333333,1.7692307692307694,0.1,0.3,0.85
SPH+CPI,4,0.49,2.038775510204081,0.1,0.3,0.85
SPH+CPI,5,0.52,2.2153846153846155,0.1,0.3,0.85
SPH+CPI,6,0.5566666666666666,2.47125748502994,0.1,0.3,0.85
SPH+CPI,7,0.58,2.657471264367816,0.1,0.3,0.85
SPH+CPI,8,0.5933333333333334,2.7797752808988765,0.1,0.3,0.85
SPH+CPI,9,0.6133333333333333,2.985869565217391,0.1,0.3,0.85
SPH+CPI,10,0.6366666666666667,3.2465968586387435,0.1,0.3,0.85
SPH+CPI,1,0.23,1.0,0.1,0.3,0.9
SPH+CPI,2,0.3333333333333333,1.41,0.1,0.3,0.9
SPH+CPI,3,0.4266666666666667,1.7796875,0.1,0.3,0.9
SPH+CPI,4,0.49,2.0795918367346937,0.1,0.3,0.9
SPH+CPI,5,0.53,2.307547169811321,0.1,0.3,0.9
SPH+CPI,6,0.57,2.573684210526316,0.1,0.3,0.9
SPH+CPI,7,0.59,2.727118644067797,0.1,0.3,0.9
SPH+CPI,8,0.6066666666666667,2.8747252747252743,0.1,0.3,0.9
SPH+CPI,9,0.6233333333333333,3.041176470588236,0.1,0.3,0.9
SPH+CPI,10,0.6466666666666666,3.295876288659794,0.1,0.3,0.9
SPH+CPI,1,0.24,1.0,0.1,0.35,0.7
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.35,0.7
SPH+CPI,3,0.4366666666666666,1.7488549618320612,0.1,0.35,0.7
SPH+CPI,4,0.49,2.0047619047619047,0.1,0.35,0.7
SPH+CPI,5,0.52,2.183333333333333,0.1,0.35,0.7
SPH+CPI,6,0.5633333333333334,2.4846153846153847,0.1,0.35,0.7
SPH+CPI,7,0.5866666666666667,2.6681818181818184,0.1,0.35,0.7
SPH+CPI,8,0.6033333333333334,2.818232044198896,0.1,0.35,0.7
SPH+CPI,9,0.63,3.0841269841269843,0.1,0.35,0.7
SPH+CPI,10,0.65,3.3000000000000003,0.1,0.35,0.7
SPH+CPI,1,0.24,1.0,0.1,0.35,0.75
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.35,0.75
SPH+CPI,3,0.4333333333333333,1.7384615384615385,0.1,0.35,0.75
SPH+CPI,4,0.49,2.01156462585034,0.1,0.35,0.75
SPH+CPI,5,0.52,2.18974358974359,0.1,0.35,0.75
SPH+CPI,6,0.56,2.469047619047619,0.1,0.35,0.75
SPH+CPI,7,0.5866666666666667,2.6795454545454547,0.1,0.35,0.75
SPH+CPI,8,0.6033333333333334,2.829281767955801,0.1,0.35,0.75
SPH+CPI,9,0.63,3.094708994708995,0.1,0.35,0.75
SPH+CPI,10,0.65,3.3102564102564105,0.1,0.35,0.75
SPH+CPI,1,0.24,1.0,0.1,0.35,0.8
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.35,0.8
SPH+CPI,3,0.4333333333333333,1.7384615384615385,0.1,0.35,0.8
SPH+CPI,4,0.49,2.01156462585034,0.1,0.35,0.8
SPH+CPI,5,0.52,2.18974358974359,0.1,0.35,0.8
SPH+CPI,6,0.56,2.469047619047619,0.1,0.35,0.8
SPH+CPI,7,0.5866666666666667,2.6795454545454547,0.1,0.35,0.8
SPH+CPI,8,0.6033333333333334,2.829281767955801,0.1,0.35,0.8
SPH+CPI,9,0.63,3.094708994708995,0.1,0.35,0.8
SPH+CPI,10,0.65,3.3102564102564105,0.1,0.35,0.8
SPH+CPI,1,0.2266666666666666,1.0,0.1,0.35,0.85
SPH+CPI,2,0.35,1.4523809523809526,0.1,0.35,0.85
SPH+CPI,3,0.4333333333333333,1.7692307692307694,0.1,0.35,0.85
